Object1,Object2,Dissimdist,Relationship,Traffic
c.bailout,visa,0.6813254326,constituent,
tesla,ups,0.6816474791,peer,
c.videoondemand,netflix,0.6816727124,constituent,
accenture,png,0.6818091778,valuechain,
halliburton,png,0.68206121,valuechain,
3m,c.virtualreality,0.6820789693,constituent,
gm,schlumberger,0.6821006204,valuechain,
abbott,dowchemical,0.6822854529,peer,
amgen,ge,0.6823084738,peer,
starbucks,target,0.6827172197,valuechain,
cisco,ge,0.6828073297,competitor,
danaher,emersonelectric,0.6828088129,competitor,
allstate,berkshirehathaway,0.6830138788,competitor,
c.videoondemand,c.internetofthings,0.6832806966,sister,
caterpillar,elilily,0.6833662184,peer,
cocacola,metlife,0.6833668398,peer,
aig,unitedhealth,0.6835268323,competitor,
dowchemical,exxonmobil,0.6835543118,valuechain,
3m,mcdonalds,0.683961156,peer,
chevron,colgate-palmolive,0.6840562534,valuechain,
pfizer,citigroup,0.6843278732,peer,
bankofnewyork,morganstanley,0.6843928063,competitor,
timewarner,twentycenturyfox,0.6844814764,valuechain,
gm,allstate,0.6846853018,valuechain,
png,walgreens,0.6849127122,valuechain,
3m,timewarner,0.6849137264,peer,
southernco,occidentalpetrol,0.6850406738,valuechain,
png,mcdonalds,0.6852075269,peer,
berkshirehathaway,texasinstrument,0.6852114541,peer,
gm,danaher,0.6852350631,valuechain,
3m,mobileye,0.6853729653,peer,
png,jpmchase,0.6853917417,peer,
pfizer,c.orphandrug,0.6859377846,constituent,
ibm,berkshirehathaway,0.6860280731,holding,
ibm,johnsonandjohnson,0.6860458861,peer,
texasinstrument,dowchemical,0.6861139157,peer,
ibm,exxonmobil,0.6863189375,peer,
abbott,honeywell,0.6864728698,valuechain,
png,verizon,0.6866166822,peer,
pepsico,occidentalpetrol,0.6867457306,valuechain,
citigroup,colgate-palmolive,0.68681469,peer,
colgate-palmolive,generaldynamics,0.6868459876,peer,
costco,walmart,0.6869487294,competitor,
pepsico,dowchemical,0.6869751397,valuechain,
homedepot,walmart,0.6870018995,competitor,
metlife,dupont,0.6870314305,peer,
mastercard,c.bailout,0.6870669114,constituent,
kindermorgan,c.shalegas,0.6870944875,constituent,
cvs,elilily,0.6871604966,valuechain,
unitedtech,emersonelectric,0.6873748255,competitor,
biogen,dupont,0.6878234456,valuechain,
gilead,gm,0.6880591675,peer,
pfizer,exxonmobil,0.6880775325,peer,
paypal,mastercard,0.6881162053,competitor,
bankofnewyork,visa,0.6883172412,valuechain,
twentycenturyfox,ge,0.6884861759,peer,
chevron,dupont,0.6885314239,valuechain,
homedepot,target,0.6886820835,competitor,
ups,walgreens,0.6886940415,valuechain,
3m,target,0.6888451827,valuechain,
png,ups,0.6890654495,valuechain,
gm,occidentalpetrol,0.6891095015,valuechain,
abbvie,dupont,0.6892114874,peer,
png,target,0.689315003,valuechain,
honeywell,dupont,0.6893156292,valuechain,
3m,c.bailout,0.6893256633,constituent,
gilead,ibm,0.6894424863,peer,
texasinstrument,medtronic,0.6896831097,valuechain,
abbvie,mondelez,0.6896953653,peer,
berkshirehathaway,exxonmobil,0.6897144829,peer,
gilead,texasinstrument,0.6899967916,peer,
walgreens,ge,0.69018516,valuechain,
schlumberger,berkshirehathaway,0.6901934729,peer,
caterpillar,dowchemical,0.6902609891,peer,
abbott,microsoft,0.6904200092,peer,
citigroup,exxonmobil,0.6904332009,peer,
abbvie,merckandco,0.690439991,competitor,
amex,bofa,0.6904456386,valuechain,
